Body of European Regulators for Electronic Communications,http://www.wikidata.org/entity/Q1297311,Body of European Regulators for Electronic Communications
Cedefop,http://www.wikidata.org/entity/Q116214,European Centre for the Development of Vocational Training
Committee of the Regions,http://www.wikidata.org/entity/Q205203,European Committee of the Regions
Council of the European Union,http://www.wikidata.org/entity/Q8896,Council of the European Union
Directorate-General for Agriculture and Rural Development,http://www.wikidata.org/entity/Q1501751,Directorate-General for Agriculture and Rural Development
Directorate-General for Communication,http://www.wikidata.org/entity/Q34779544,Directorate-General for Communication
Directorate-General for Competition,http://www.wikidata.org/entity/Q610734,Directorate-General for Competition
Directorate-General for Economic and Financial Affairs,http://www.wikidata.org/entity/Q5280590,Directorate-General for Economic and Financial Affairs
Directorate-General for Education and Culture,http://www.wikidata.org/entity/Q5280589,Directorate-General for Education and Culture
Directorate-General for Energy,http://www.wikidata.org/entity/Q15811618,Directorate-General for Energy
Directorate-General for Health and Food Safety,http://www.wikidata.org/entity/Q596757,Directorate-General for Health and Food Safety
Directorate-General for Informatics,http://www.wikidata.org/entity/Q5280596,Directorate-General for Informatics
Directorate-General for International Cooperation and Development,http://www.wikidata.org/entity/Q1378038,Directorate-General for International Cooperation and Development
Directorate-General for Interpretation,http://www.wikidata.org/entity/Q5280599,Directorate-General for Interpretation
Directorate-General for Justice and Consumers,http://www.wikidata.org/entity/Q5280598,Directorate-General for Justice and Consumers
Directorate-General for Maritime Affairs and Fisheries,http://www.wikidata.org/entity/Q5280602,Directorate-General for Maritime Affairs and Fisheries
Directorate-General for Migration and Home Affairs,http://www.wikidata.org/entity/Q5280595,Directorate-General for Migration and Home Affairs
Directorate-General for Mobility and Transport,http://www.wikidata.org/entity/Q384175,Directorate-General for Mobility and Transport
Directorate-General for Regional and Urban Policy,http://www.wikidata.org/entity/Q5280604,Directorate-General for Regional and Urban Policy
Directorate-General for Research and Innovation,http://www.wikidata.org/entity/Q3304308,Directorate-General for Research and Innovation
Directorate-General for Taxation and Customs Union,http://www.wikidata.org/entity/Q1501749,Directorate-General for Taxation and Customs Union
Directorate-General for the Environment,http://www.wikidata.org/entity/Q1501753,Directorate-General for the Environment
Directorate-General for Translation,http://www.wikidata.org/entity/Q5280607,Directorate-General for Translation
Eurofound,http://www.wikidata.org/entity/Q1377549,European Foundation for the Improvement of Living and Working Conditions
European Agency for Safety and Health at Work,http://www.wikidata.org/entity/Q571118,European Agency for Safety and Health at Work
European Anti-Fraud Office,http://www.wikidata.org/entity/Q1138377,European Anti-fraud Office
European Asylum Support Office,http://www.wikidata.org/entity/Q4002697,European Asylum Support Office
European Aviation Safety Agency,http://www.wikidata.org/entity/Q276255,European Aviation Safety Agency
European Banking Authority,http://www.wikidata.org/entity/Q769548,European Banking Authority
European Central Bank,http://www.wikidata.org/entity/Q8901,European Central Bank
European Centre for Disease Prevention and Control,http://www.wikidata.org/entity/Q918501,European Centre for Disease Prevention and Control
European Chemicals Agency,http://www.wikidata.org/entity/Q48798,European Chemicals Agency
European Data Protection Supervisor,http://www.wikidata.org/entity/Q1377705,European Data Protection Supervisor
European Defence Agency,http://www.wikidata.org/entity/Q1134173,European Defence Agency
European Economic and Social Committee,http://www.wikidata.org/entity/Q331024,European Economic and Social Committee
European Environment Agency,http://www.wikidata.org/entity/Q632988,European Environment Agency
European External Action Service,http://www.wikidata.org/entity/Q672941,European External Action Service
European Fisheries Control Agency,http://www.wikidata.org/entity/Q201372,European Fisheries Control Agency
European Food Safety Authority,http://www.wikidata.org/entity/Q516521,European Food Safety Authority
European Institute for Gender Equality,http://www.wikidata.org/entity/Q48718,European Institute for Gender Equality
European Institute of Innovation and Technology,http://www.wikidata.org/entity/Q993120,European Institute of Innovation and Technology
European Insurance and Occupational Pensions Authority,http://www.wikidata.org/entity/Q2116004,European Insurance and Occupational Pensions Authority
European Investment Bank,http://www.wikidata.org/entity/Q192247,European Investment Bank
European Maritime Safety Agency,http://www.wikidata.org/entity/Q922693,European Maritime Safety Agency
European Medicines Agency,http://www.wikidata.org/entity/Q130146,European Medicines Agency
European Monitoring Centre for Drugs and Drug Addiction,http://www.wikidata.org/entity/Q1377256,European Monitoring Centre for Drugs and Drug Addiction
European Ombudsman,http://www.wikidata.org/entity/Q220893,European Ombudsman
European Parliament,http://www.wikidata.org/entity/Q8889,European Parliament
European Securities and Markets Authority,http://www.wikidata.org/entity/Q769112,European Securities and Markets Authority
European Training Foundation,http://www.wikidata.org/entity/Q372042,European Training Foundation
European Union Agency for Fundamental Rights,http://www.wikidata.org/entity/Q48790,European Union Agency for Fundamental Rights
Europol,http://www.wikidata.org/entity/Q207203,Europol
Eurostat,http://www.wikidata.org/entity/Q217659,Eurostat
Executive Agency for Small and Medium-sized Enterprises,http://www.wikidata.org/entity/Q734374,Executive Agency for Small and Medium-sized Enterprises
Frontex,http://www.wikidata.org/entity/Q21786841,European Border and Coast Guard Agency
Joint Research Centre,http://www.wikidata.org/entity/Q50035077,Joint Research Centre
Publications Office,http://www.wikidata.org/entity/Q480222,Publications Office of the European Union
Secretariat-General,http://www.wikidata.org/entity/Q1501921,Secretariat-General of the European Commission
SESAR Joint Undertaking,http://www.wikidata.org/entity/Q3055255,SESAR Joint Undertaking
Translation Centre,http://www.wikidata.org/entity/Q333743,Translation Centre for the Bodies of the European Union
